eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
2-s2.0-85156276935,10.1038/s41746-023-00822-x,,,Synthetic electronic health records generated with variational graph autoencoders,ar,Article,Nikolentzos G.,60027675;60022085;60013425;60002014;128944727,Sahlgrenska Akademin;Högskolan i Halmstad;École polytechnique;The Royal Institute of Technology (KTH);SHAARPEC,Gothenburg;Halmstad;Palaiseau;Stockholm;Stockholm,Sweden;Sweden;France;Sweden;Sweden,5.0,"Nikolentzos, Giannis;Vazirgiannis, Michalis;Xypolopoulos, Christos;Lingman, Markus;Brandt, Erik G.",57173279500;7004248278;57201357025;6504238326;57993092900,60013425;60013425-60002014;60013425;60027675-60022085;128944727,2023-12-01,December 2023,npj Digital Medicine,,21101012669.0,23986352,Journal,6,1,83,,"Data-driven medical care delivery must always respect patient privacy—a requirement that is not easily met. This issue has impeded improvements to healthcare software and has delayed the long-predicted prevalence of artificial intelligence in healthcare. Until now, it has been very difficult to share data between healthcare organizations, resulting in poor statistical models due to unrepresentative patient cohorts. Synthetic data, i.e., artificial but realistic electronic health records, could overcome the drought that is troubling the healthcare sector. Deep neural network architectures, in particular, have shown an incredible ability to learn from complex data sets and generate large amounts of unseen data points with the same statistical properties as the training data. Here, we present a generative neural network model that can create synthetic health records with realistic timelines. These clinical trajectories are generated on a per-patient basis and are represented as linear-sequence graphs of clinical events over time. We use a variational graph autoencoder (VGAE) to generate synthetic samples from real-world electronic health records. Our approach generates health records not seen in the training data. We show that these artificial patient trajectories are realistic and preserve patient privacy and can therefore support the safe sharing of data across organizations.",,0,1,repositoryam,Green,AIR,ANR-19-CHIA-0020,American Institutes for Research
2-s2.0-85156259563,10.1186/s12967-023-04126-2,,37118828.0,Ubiquitin specific peptidase 37 and PCNA interaction promotes osteosarcoma pathogenesis by modulating replication fork progression,ar,Article,Chauhan R.,60115213;60107609;60102356;60072743;60009790;60003711,"Islamic University of Science and Technology;Sidra Medicine;Texas A&amp;M University College of Medicine;Hamad Medical Corporation;All India Institute of Medical Sciences, New Delhi;University of Pennsylvania Perelman School of Medicine",Awantipora;Doha;Bryan;Doha;New Delhi;Philadelphia,India;Qatar;United States;Qatar;India;United States,21.0,"Chauhan, Ravi;Gupta, Ashna;Malhotra, Lakshay;Bhat, Ajaz A.;Pandita, Raj K.;Masoodi, Tariq;Dagar, Gunjan;Sadida, Hana Q.;Al-Marzooqi, Sara K.;Batra, Atul;Bakhshi, Sameer;Sharma, Mehar Chand;Tanwar, Pranay;Khan, Shah Alam;Samath, Ethayathulla Abdul;Uddin, Shahab;Akil, Ammira S.Al Shabeeb;Haris, Mohammad;Macha, Muzafar A.;Pandita, Tej K.;Singh, Mayank",57218685207;57218687064;57220854188;55481294600;56240340300;36647905600;57209100593;58145080100;58222073000;56589560300;7003694505;35468180900;56237754400;24344213700;58222831000;57221234193;58145488800;22633947200;26425239800;7006445590;55469513300,60009790;60009790;60009790;60107609;60102356;60107609;60009790;60107609;60107609;60009790;60009790;60009790;60009790;60009790;60009790;60072743;60107609;60003711;60115213;60102356;60009790,2023-12-01,December 2023,Journal of Translational Medicine,,16440.0,14795876,Journal,21,1,286,,"Background: Osteosarcoma is a type of bone cancer that predominantly affects young individuals, including children and adolescents. The disease progresses through heterogeneous genetic alterations, and patients often develop pulmonary metastases even after the primary tumors have been surgically removed. Ubiquitin-specific peptidases (USPs) regulate several critical cellular processes, such as cell cycle progression, transcriptional activation, and signal transduction. Various studies have revealed the significance of USP37 in the regulation of replication stress and oncogenesis. Methods: In this study, the Cancer Genome Atlas (TCGA) database was analyzed to investigate USP37 expression. RNA sequencing was utilized to assess the impact of USP37 overexpression and depletion on gene expression in osteosarcoma cells. Various molecular assays, including colony formation, immunofluorescence, immunoprecipitation, and DNA replication restart, were employed to examine the physical interaction between USP37 and PCNA, as well as its physiological effects in osteosarcoma cells. Additionally, molecular docking studies were conducted to gain insight into the nature of the interaction between USP37 and PCNA. Furthermore, immunohistochemistry was performed on archived tissue blocks from osteosarcoma patients to establish a correlation between USP37 and PCNA expression. Results: Analysis of the TCGA database revealed that increased expression of USP37 was linked to decreased progression-free survival (PFS) in osteosarcoma patients. Next-generation sequencing analysis of osteosarcoma cells demonstrated that overexpression or knockdown of USP37 led to the expression of different sets of genes. USP37 overexpression provided a survival advantage, while its depletion heightened sensitivity to replication stress in osteosarcoma cells. USP37 was found to physically interact with PCNA, and molecular docking studies indicated that the interaction occurs through unique residues. In response to genotoxic stress, cells that overexpressed USP37 resolved DNA damage foci more quickly than control cells or cells in which USP37 was depleted. The expression of USP37 varied in archived osteosarcoma tissues, with intermediate expression seen in 52% of cases in the cohort examined. Conclusion: The results of this investigation propose that USP37 plays a vital role in promoting replication stress tolerance in osteosarcoma cells. The interaction between USP37 and PCNA is involved in the regulation of replication stress, and disrupting it could potentially trigger synthetic lethality in osteosarcoma. This study has expanded our knowledge of the mechanism through which USP37 regulates replication stress, and its potential as a therapeutic target in osteosarcoma merits additional exploration.",Deubiquitinating enzymes | Metastasis | Proliferating cell nuclear antigen | Replication stress | Ubiquitin specific protease 37,0,1,publisherfullgold,Gold,CSU,undefined,Columbus State University
2-s2.0-85156248812,10.1038/s41467-023-37031-9,,37117207.0,PeakDecoder enables machine learning-based metabolite annotation and accurate profiling in multidimensional mass spectrometry measurements,ar,Article,Bilbao A.,60028609;60027757;60025111;60024780;60024266;60023471;60015900;60007174,"Argonne National Laboratory;United States Department of Energy;The University of North Carolina at Chapel Hill;Agilent Technologies;Oak Ridge National Laboratory;Pacific Northwest National Laboratory;Sandia National Laboratories, California;Lawrence Berkeley National Laboratory","Lemont;Washington, D.C.;Chapel Hill;Santa Clara;Oak Ridge;Richland;Livermore;Berkeley",United States;United States;United States;United States;United States;United States;United States;United States,28.0,"Bilbao, Aivett;Munoz, Nathalie;Kim, Joonhoon;Orton, Daniel J.;Gao, Yuqian;Poorey, Kunal;Pomraning, Kyle R.;Weitz, Karl;Burnet, Meagan;Nicora, Carrie D.;Wilton, Rosemarie;Deng, Shuang;Dai, Ziyu;Oksen, Ethan;Gee, Aaron;Fasani, Rick A.;Tsalenko, Anya;Tanjore, Deepti;Gardner, James;Smith, Richard D.;Michener, Joshua K.;Gladden, John M.;Baker, Erin S.;Petzold, Christopher J.;Kim, Young Mo;Apffel, Alex;Magnuson, Jon K.;Burnum-Johnson, Kristin E.",56513548000;57218378366;36145139000;15071131700;55789405600;31767566000;14042433000;6603970145;50461074700;13410209800;7003699187;57212117255;58222816400;57215208647;58222625500;58222625600;6603183052;36864363600;55897946400;57218923439;51864114000;36101274200;57226206399;6701791305;35201394400;6602571561;7005474795;55341427000,60023471-60027757;60023471-60027757;60023471-60027757;60023471;60023471-60027757;60015900;60023471-60027757;60023471;60023471;60023471;60027757-60028609;60023471-60027757;60023471-60027757;60007174;60024780;60024780;60024780;60027757-60007174;60027757-60007174;60023471;60027757-60024266;60027757-60015900;60025111;60027757-60007174;60023471-60027757;60024780;60023471-60027757;60023471-60027757,2023-12-01,December 2023,Nature Communications,,19700182758.0,20411723,Journal,14,1,2461,,"Multidimensional measurements using state-of-the-art separations and mass spectrometry provide advantages in untargeted metabolomics analyses for studying biological and environmental bio-chemical processes. However, the lack of rapid analytical methods and robust algorithms for these heterogeneous data has limited its application. Here, we develop and evaluate a sensitive and high-throughput analytical and computational workflow to enable accurate metabolite profiling. Our workflow combines liquid chromatography, ion mobility spectrometry and data-independent acquisition mass spectrometry with PeakDecoder, a machine learning-based algorithm that learns to distinguish true co-elution and co-mobility from raw data and calculates metabolite identification error rates. We apply PeakDecoder for metabolite profiling of various engineered strains of Aspergillus pseudoterreus, Aspergillus niger, Pseudomonas putida and Rhodosporidium toruloides. Results, validated manually and against selected reaction monitoring and gas-chromatography platforms, show that 2683 features could be confidently annotated and quantified across 116 microbial sample runs using a library built from 64 standards.",,0,1,,,USDOE,P41 GM103493,U.S. Department of Energy
2-s2.0-85156137333,10.1186/s13040-023-00330-4,,,A self-inspected adaptive SMOTE algorithm (SASMOTE) for highly imbalanced data classification in healthcare,ar,Article,Kosolwattana T.,60006514;60005837;60001117;115785904,Oklahoma State University;University of Houston;Johns Hopkins School of Medicine;Lieber Institute for Brain Development,Stillwater;Houston;Baltimore;Baltimore,United States;United States;United States;United States,6.0,"Kosolwattana, Tanapol;Liu, Chenang;Hu, Renjie;Han, Shizhong;Chen, Hua;Lin, Ying",57803283600;57882503300;57804588100;23480012700;58220179200;57191863297,60005837;60006514;60005837;60001117-115785904;60005837;60005837,2023-12-01,December 2023,BioData Mining,,17300154988.0,17560381,Journal,16,1,15,,"In many healthcare applications, datasets for classification may be highly imbalanced due to the rare occurrence of target events such as disease onset. The SMOTE (Synthetic Minority Over-sampling Technique) algorithm has been developed as an effective resampling method for imbalanced data classification by oversampling samples from the minority class. However, samples generated by SMOTE may be ambiguous, low-quality and non-separable with the majority class. To enhance the quality of generated samples, we proposed a novel self-inspected adaptive SMOTE (SASMOTE) model that leverages an adaptive nearest neighborhood selection algorithm to identify the “visible” nearest neighbors, which are used to generate samples likely to fall into the minority class. To further enhance the quality of the generated samples, an uncertainty elimination via self-inspection approach is introduced in the proposed SASMOTE model. Its objective is to filter out the generated samples that are highly uncertain and inseparable with the majority class. The effectiveness of the proposed algorithm is compared with existing SMOTE-based algorithms and demonstrated through two real-world case studies in healthcare, including risk gene discovery and fatal congenital heart disease prediction. By generating the higher quality synthetic samples, the proposed algorithm is able to help achieve better prediction performance (in terms of F1 score) on average compared to the other methods, which is promising to enhance the usability of machine learning models on highly imbalanced healthcare data.",Adaptive nearest neighborhood selection | Imbalanced data classification in healthcare | Self-inspection | SMOTE-based resampling,0,1,repositoryam,Green,NIMH,R01MH121394,National Institute of Mental Health
2-s2.0-85156102025,10.1186/s13148-023-01482-0,,37120619.0,Epigenetic reactivation of tumor suppressor genes with CRISPRa technologies as precision therapy for hepatocellular carcinoma,ar,Article,Sgro A.,60118644;60087991;60031806;60018478;60012932;60005202;60002813,"School of Mathematics and Statistics;University of Western Australia, School of Medicine and Pharmacology;The University of Western Australia;Queen Elizabeth II Medical Centre Trust;Faculty of Medicine, Nursing and Health Sciences;The Harry Perkins Institute of Medical Research;St Vincent's Institute",Melbourne;Perth;Perth;Perth;Clayton;Perth;Fitzroy,Australia;Australia;Australia;Australia;Australia;Australia;Australia,9.0,"Sgro, Agustin;Cursons, Joseph;Waryah, Charlene;Woodward, Eleanor A.;Foroutan, Momeneh;Lyu, Ruqian;Yeoh, George C.T.;Leedman, Peter J.;Blancafort, Pilar",56529385500;36813014300;56398562100;57225704127;56641176400;58221514100;57653410900;21646119800;8664576500,60005202-60031806;60012932;60005202-60031806;60005202-60031806;60012932;60002813-60118644;60031806;60031806-60018478-60087991;60005202-60031806,2023-12-01,December 2023,Clinical Epigenetics,18687075,19700173006.0,18687083,Journal,15,1,73,,"Background: Epigenetic silencing of tumor suppressor genes (TSGs) is a key feature of oncogenesis in hepatocellular carcinoma (HCC). Liver-targeted delivery of CRISPR-activation (CRISPRa) systems makes it possible to exploit chromatin plasticity, by reprogramming transcriptional dysregulation. Results: Using The Cancer Genome Atlas HCC data, we identify 12 putative TSGs with negative associations between promoter DNA methylation and transcript abundance, with limited genetic alterations. All HCC samples harbor at least one silenced TSG, suggesting that combining a specific panel of genomic targets could maximize efficacy, and potentially improve outcomes as a personalized treatment strategy for HCC patients. Unlike epigenetic modifying drugs lacking locus selectivity, CRISPRa systems enable potent and precise reactivation of at least 4 TSGs tailored to representative HCC lines. Concerted reactivation of HHIP, MT1M, PZP, and TTC36 in Hep3B cells inhibits multiple facets of HCC pathogenesis, such as cell viability, proliferation, and migration. Conclusions: By combining multiple effector domains, we demonstrate the utility of a CRISPRa toolbox of epigenetic effectors and gRNAs for patient-specific treatment of aggressive HCC.",CRISPRa | Epigenetic drugs | Epigenetic editing toolbox | Genome multiplexing | Hepatocellular carcinoma | Precision medicine | Tumor suppressor genes,0,1,publisherfullgold,Gold,ARC,FT130101767,Australian Research Council
2-s2.0-85154068487,10.1007/s42773-023-00225-x,,,Synthesis optimization and adsorption modeling of biochar for pollutant removal via machine learning,re,Review,Zhang W.,60119973;60073673;60025278;60021843;129304811,South China Institute Of Environmental Sciences;University of Science and Technology of Suzhou;Tsinghua University;Beijing University of Chemical Technology;Key Laboratory of Suzhou Sponge City Technology,Guangzhou;Suzhou;Beijing;Beijing;Suzhou,China;China;China;China;China,9.0,"Zhang, Wentao;Chen, Ronghua;Li, Jie;Huang, Tianyin;Wu, Bingdang;Ma, Jun;Wen, Qingqi;Tan, Jie;Huang, Wenguang",57221431466;58204834100;57193506692;57747031000;57378041200;57948644700;58205576700;57902870000;57902653200,60025278;60119973;60021843;60073673-129304811;60073673-129304811;60119973;60119973;60119973;60119973,2023-12-01,December 2023,Biochar,,21101049099.0,25247867,Journal,5,1,25,,"Due to large specific surface area, abundant functional groups and low cost, biochar is widely used for pollutant removal. The adsorption performance of biochar is related to biochar synthesis and adsorption parameters. But the influence factor is numerous, the traditional experimental enumeration is powerless. In recent years, machine learning has been gradually employed for biochar, but there is no comprehensive review on the whole process regulation of biochar adsorbents, covering synthesis optimization and adsorption modeling. This review article systematically summarized the application of machine learning in biochar adsorbents from the perspective of all-round regulation for the first time, including the synthesis optimization and adsorption modeling of biochar adsorbents. Firstly, the overview of machine learning was introduced. Then, the latest advances of machine learning in biochar synthesis for pollutant removal were summarized, including prediction of biochar yield and physicochemical properties, optimal synthetic conditions and economic cost. And the application of machine learning in pollutant adsorption by biochar was reviewed, covering prediction of adsorption efficiency, optimization of experimental conditions and revelation of adsorption mechanism. General guidelines for the application of machine learning in whole-process optimization of biochar from synthesis to adsorption were presented. Finally, the existing problems and future perspectives of machine learning for biochar adsorbents were put forward. We hope that this review can promote the integration of machine learning and biochar, and thus light up the industrialization of biochar. Graphical Abstract: [Figure not available: see fulltext.]",Adsorption | Artificial intelligence | Biochar | Machine learning | Pollutant removal | Pyrolysis,0,1,publisherfullgold,Gold,NSFC,PM-zx703-202204-104,National Natural Science Foundation of China
2-s2.0-85154045382,10.1186/s12986-023-00746-z,,,Application of deep learning to predict the low serum albumin in new hemodialysis patients,ar,Article,Yang C.H.,60116768;60103976;60073391;60072370;60024908;60012256,National Kaohsiung University of Science and Technology;Tainan University of Technology;Chang Gung University College of Medicine;Chiayi Christian Hospital;I-Shou University;Kaohsiung Medical University,Kaohsiung;Tainan;Taoyuan;Chiayi;Kaohsiung;Kaohsiung,Taiwan;Taiwan;Taiwan;Taiwan;Taiwan;Taiwan,5.0,"Yang, Cheng Hong;Chen, Yin Syuan;Chen, Jin Bor;Huang, Hsiu Chen;Chuang, Li Yeh",16032404900;57221603207;7501893728;37025368400;7102725583,60103976-60116768-60012256;60116768;60073391;60072370;60024908,2023-12-01,December 2023,Nutrition and Metabolism,,15300154824.0,17437075,Journal,20,1,24,,"Background: Serum albumin level is a crucial nutritional indicator for patients on dialysis. Approximately one-third of patients on hemodialysis (HD) have protein malnutrition. Therefore, the serum albumin level of patients on HD is strongly correlated with mortality. Methods: In study, the data sets were obtained from the longitudinal electronic health records of the largest HD center in Taiwan from July 2011 to December 2015, included 1,567 new patients on HD who met the inclusion criteria. Multivariate logistic regression was performed to evaluate the association of clinical factors with low serum albumin, and the grasshopper optimization algorithm (GOA) was used for feature selection. The quantile g-computation method was used to calculate the weight ratio of each factor. Machine learning and deep learning (DL) methods were used to predict the low serum albumin. The area under the curve (AUC) and accuracy were calculated to determine the model performance. Results: Age, gender, hypertension, hemoglobin, iron, ferritin, sodium, potassium, calcium, creatinine, alkaline phosphatase, and triglyceride levels were significantly associated with low serum albumin. The AUC and accuracy of the GOA quantile g-computation weight model combined with the Bi-LSTM method were 98% and 95%, respectively. Conclusion: The GOA method was able to rapidly identify the optimal combination of factors associated with serum albumin in patients on HD, and the quantile g-computation with DL methods could determine the most effective GOA quantile g-computation weight prediction model. The serum albumin status of patients on HD can be predicted by the proposed model and accordingly provide patients with better a prognostic care and treatment.",Deep learning | Grasshopper optimization algorithm | Hemodialysis | Quantile g-computation | Serum albumin,0,1,publisherfullgold,Gold,MOST,111-2221-E-165 -002 -MY3,"Ministry of Science and Technology, Taiwan"
2-s2.0-85153911176,10.1186/s12859-023-05286-0,,37101113.0,Magicmol: a light-weighted pipeline for drug-like molecule evolution and quick chemical space exploration,ar,Article,Chen L.,60073558;128987466,Huzhou University;Huzhou College,Huzhou;Huzhou,China;China,3.0,"Chen, Lin;Shen, Qing;Lou, Jungang",57800016300;36027672000;25960227300,60073558;60073558-128987466;60073558,2023-12-01,December 2023,BMC Bioinformatics,,17929.0,14712105,Journal,24,1,173,,"The flourishment of machine learning and deep learning methods has boosted the development of cheminformatics, especially regarding the application of drug discovery and new material exploration. Lower time and space expenses make it possible for scientists to search the enormous chemical space. Recently, some work combined reinforcement learning strategies with recurrent neural network (RNN)-based models to optimize the property of generated small molecules, which notably improved a batch of critical factors for these candidates. However, a common problem among these RNN-based methods is that several generated molecules have difficulty in synthesizing despite owning higher desired properties such as binding affinity. However, RNN-based framework better reproduces the molecule distribution among the training set than other categories of models during molecule exploration tasks. Thus, to optimize the whole exploration process and make it contribute to the optimization of specified molecules, we devised a light-weighted pipeline called Magicmol; this pipeline has a re-mastered RNN network and utilize SELFIES presentation instead of SMILES. Our backbone model achieved extraordinary performance while reducing the training cost; moreover, we devised reward truncate strategies to eliminate the model collapse problem. Additionally, adopting SELFIES presentation made it possible to combine STONED-SELFIES as a post-processing procedure for specified molecule optimization and quick chemical space exploration.",De novo drug design | Deep learning | Generative models | Reinforcement learning | Synthetic accessibility,0,1,repositoryam,Green,ZJNSF,LR20F020002,Natural Science Foundation of Zhejiang Province
2-s2.0-85153894787,10.1038/s43586-023-00212-3,,,Droplet-based microfluidics,ar,Article,Moragues T.,60030236;60029631;60025858;60024944;60023691;60019674,"École Supérieure de Physique et de Chimie Industrielles de la Ville de Paris;Institut Universitaire de France;ETH Zürich;Centre de Recherche Paul Pascal;University of California, San Francisco;Boston University","Paris;Paris;Zurich ZH,;Pessac;San Francisco;Boston",France;France;Switzerland;France;United States;United States,10.0,"Moragues, Thomas;Arguijo, Diana;Beneyton, Thomas;Modavi, Cyrus;Simutis, Karolis;Abate, Adam R.;Baret, Jean Christophe;deMello, Andrew J.;Densmore, Douglas;Griffiths, Andrew D.",58201959200;57435146600;36760390700;56724120200;55849494900;9841399300;8638398400;57202071273;6506652316;7202812821,60025858;60019674;60024944;60023691;60030236;60023691;60024944-60029631;60025858;60019674;60030236,2023-12-01,December 2023,Nature Reviews Methods Primers,,21101089342.0,26628449,Journal,3,1,32,,"Droplet-based microfluidic systems generate, manipulate and control sub-microlitre droplets enclosed within an immiscible carrier fluid. Owing to a number of remarkable features, such as the ability to precisely control the chemical and biological payload of each droplet and to produce thousands of droplets per second, this technology is transforming how chemists and biologists perform high-throughput or massively parallel experiments. In this Primer, we initially introduce and describe the basic features of droplet-based microfluidic systems and key issues that should be considered when developing new chemical and biological workflows. We provide a critical evaluation of how droplet-based microfluidic systems should be manufactured and the importance of integrating appropriate detection technologies to probe the small analytical volumes that are representatives of the technology set. We then discuss issues related to data collection and management, providing guidelines on how large data sets should be processed and manipulated. Furthermore, we showcase some of the most successful and important applications of droplet-based systems in the biological and chemical sciences and consider issues that currently hinder progress in both technology development and application. Finally, we provide some opinion on future directions for the technology set and where its greatest impact will be felt in the coming years.",,0,0,,,,undefined,
2-s2.0-85153687791,10.1038/s41598-023-33472-w,,37095147.0,CBCT-based synthetic CT generated using CycleGAN with HU correction for adaptive radiotherapy of nasopharyngeal carcinoma,ar,Article,Jihong C.,60088268;60005206;100708179,University of South China;Fujian Medical University;Xiangtan Central Hospital,Hengyang;Fuzhou;Xiangtan,China;China;China,6.0,"Jihong, Chen;Kerun, Quan;Kaiqiang, Chen;Xiuchun, Zhang;Yimin, Zhou;penggang, Bai",25623041800;57219409840;57219409822;57219399069;58106152500;57219400241,60005206;100708179;60005206;60005206;60088268;60005206,2023-12-01,December 2023,Scientific Reports,,21100200805.0,20452322,Journal,13,1,6624,,"This study aims to utilize a hybrid approach of phantom correction and deep learning for synthesized CT (sCT) images generation based on cone-beam CT (CBCT) images for nasopharyngeal carcinoma (NPC). 52 CBCT/CT paired images of NPC patients were used for model training (41), validation (11). Hounsfield Units (HU) of the CBCT images was calibrated by a commercially available CIRS phantom. Then the original CBCT and the corrected CBCT (CBCT_cor) were trained separately with the same cycle generative adversarial network (CycleGAN) to generate SCT1 and SCT2. The mean error and mean absolute error (MAE) were used to quantify the image quality. For validations, the contours and treatment plans in CT images were transferred to original CBCT, CBCT_cor, SCT1 and SCT2 for dosimetric comparison. Dose distribution, dosimetric parameters and 3D gamma passing rate were analyzed. Compared with rigidly registered CT (RCT), the MAE of CBCT, CBCT_cor, SCT1 and SCT2 were 346.11 ± 13.58 HU, 145.95 ± 17.64 HU, 105.62 ± 16.08 HU and 83.51 ± 7.71 HU, respectively. Moreover, the average dosimetric parameter differences for the CBCT_cor, SCT1 and SCT2 were 2.7% ± 1.4%, 1.2% ± 1.0% and 0.6% ± 0.6%, respectively. Using the dose distribution of RCT images as reference, the 3D gamma passing rate of the hybrid method was significantly better than the other methods. The effectiveness of CBCT-based sCT generated using CycleGAN with HU correction for adaptive radiotherapy of nasopharyngeal carcinoma was confirmed. The image quality and dose accuracy of SCT2 were outperform the simple CycleGAN method. This finding has great significance for the clinical application of adaptive radiotherapy for NPC.",,0,1,publisherfullgold,Gold,FJMU,2020Y2012,Science and Technology Projects of Fujian Province
